loss_ratio,cost_ratio,class_fn,decision_fn,data_bal,threshold,cost,cost_std,loss,loss_std,recall,recall_std,precision,precision_std
5,0.1,truth_finder_single,decision_function_em,0.3,0.95,300.0,0.0,0.34,0.035,0.846,0.022,0.698,0.017
5,0.1,majority_voting,decision_function_mv,0.1,0.7,456.362,7.552,0.117,0.013,0.935,0.021,0.527,0.029
5,0.1,majority_voting,decision_function_mv,0.1,0.8,542.264,8.931,0.177,0.015,0.951,0.022,0.386,0.018
5,0.1,majority_voting,decision_function_mv,0.1,0.9,467.608,7.479,0.26,0.022,0.949,0.021,0.289,0.017
5,0.1,majority_voting,decision_function_mv,0.1,0.95,300.0,0.0,0.216,0.02,0.846,0.037,0.379,0.021
5,0.05,majority_voting,decision_function_mv,0.1,0.7,260.16,7.574,0.093,0.013,0.94,0.023,0.601,0.029
5,0.05,majority_voting,decision_function_mv,0.1,0.8,366.857,7.893,0.117,0.014,0.957,0.017,0.502,0.03
5,0.05,majority_voting,decision_function_mv,0.1,0.9,280.046,6.098,0.228,0.019,0.941,0.024,0.322,0.016
5,0.05,majority_voting,decision_function_mv,0.1,0.95,233.026,3.436,0.257,0.016,0.934,0.022,0.294,0.012
5,0.2,majority_voting,decision_function_mv,0.5,0.7,820.116,9.612,0.232,0.035,0.935,0.013,0.869,0.014
5,0.2,majority_voting,decision_function_mv,0.5,0.8,834.32,7.221,0.256,0.033,0.95,0.012,0.786,0.013
5,0.2,majority_voting,decision_function_mv,0.5,0.9,600.0,0.0,0.465,0.041,0.845,0.016,0.845,0.012
5,0.2,majority_voting,decision_function_mv,0.5,0.95,600.0,0.0,0.473,0.039,0.842,0.015,0.844,0.016
5,0.2,majority_voting,decision_function_mv,0.3,0.7,819.504,8.738,0.203,0.026,0.931,0.015,0.738,0.02
5,0.2,majority_voting,decision_function_mv,0.3,0.8,831.956,7.422,0.262,0.032,0.948,0.017,0.607,0.02
5,0.2,majority_voting,decision_function_mv,0.3,0.9,600.0,0.0,0.348,0.033,0.84,0.023,0.699,0.02
5,0.2,majority_voting,decision_function_mv,0.3,0.95,600.0,0.0,0.344,0.029,0.845,0.018,0.696,0.019
5,0.2,majority_voting,decision_function_mv,0.1,0.7,819.224,8.525,0.16,0.017,0.936,0.024,0.423,0.022
5,0.2,majority_voting,decision_function_mv,0.1,0.8,829.24,8.427,0.262,0.018,0.947,0.022,0.287,0.013
5,0.2,majority_voting,decision_function_mv,0.1,0.9,600.0,0.0,0.218,0.019,0.842,0.027,0.379,0.021
5,0.2,majority_voting,decision_function_mv,0.1,0.95,600.0,0.0,0.221,0.019,0.838,0.034,0.375,0.02
5,0.2,majority_voting,decision_function_bayes,0.5,0.7,600.0,0.0,0.481,0.037,0.84,0.014,0.837,0.011
5,0.2,majority_voting,decision_function_bayes,0.5,0.8,934.58,8.737,0.155,0.019,0.97,0.008,0.859,0.009
5,0.2,majority_voting,decision_function_bayes,0.5,0.9,869.52,36.776,0.203,0.033,0.959,0.014,0.826,0.014
5,0.2,majority_voting,decision_function_bayes,0.5,0.95,775.74,41.348,0.225,0.028,0.963,0.01,0.784,0.012
5,0.2,majority_voting,decision_function_bayes,0.3,0.7,600.0,0.0,0.367,0.035,0.829,0.02,0.694,0.021
5,0.2,majority_voting,decision_function_bayes,0.3,0.8,930.5,20.18,0.176,0.016,0.965,0.011,0.701,0.018
5,0.2,majority_voting,decision_function_bayes,0.3,0.9,871.58,40.325,0.215,0.016,0.957,0.012,0.657,0.015
5,0.2,majority_voting,decision_function_bayes,0.3,0.95,770.34,45.002,0.254,0.022,0.959,0.018,0.6,0.011
