loss_ratio,cost_ratio,class_fn,decision_fn,data_bal,threshold,cost,cost_std,loss,loss_std,recall,recall_std,precision,precision_std,f1,f1_std,fbeta,fbeta_std
5,0.1,majority_voting,decision_function_bayes,0.3,0.7,300.0,0.0,0.341,0.028,0.848,0.017,0.692,0.016,0.7620987012987012,0,0.8407106017191978,0
5,0.1,truth_finder_single,decision_function_bayes,0.3,0.7,300.0,0.0,0.341,0.028,0.848,0.017,0.692,0.016,0.7620987012987012,0,0.8407106017191978,0
5,0.1,majority_voting,decision_function_bayes,0.3,0.8,581.97,17.825,0.109,0.018,0.948,0.011,0.904,0.02,0.9254773218142549,0,0.9462286393748938,0
5,0.1,truth_finder_single,decision_function_bayes,0.3,0.8,581.97,17.825,0.109,0.018,0.948,0.011,0.904,0.02,0.9254773218142549,0,0.9462286393748938,0
5,0.1,majority_voting,decision_function_bayes,0.3,0.9,634.85,42.634,0.104,0.025,0.958,0.015,0.874,0.016,0.9140742358078603,0,0.9544717642932304,0
5,0.1,truth_finder_single,decision_function_bayes,0.3,0.9,634.85,42.634,0.104,0.025,0.958,0.015,0.874,0.016,0.9140742358078603,0,0.9544717642932304,0
5,0.1,majority_voting,decision_function_bayes,0.3,0.95,673.8,25.43,0.101,0.01,0.971,0.009,0.834,0.022,0.8973008310249307,0,0.964903716603272,0
5,0.1,truth_finder_single,decision_function_bayes,0.3,0.95,673.8,25.43,0.101,0.01,0.971,0.009,0.834,0.022,0.8973008310249307,0,0.964903716603272,0
5,0.05,majority_voting,decision_function_bayes,0.1,0.7,150.0,0.0,0.22,0.023,0.843,0.04,0.373,0.021,0.5171694078947368,0,0.8040336349331236,0
5,0.05,truth_finder_single,decision_function_bayes,0.1,0.7,150.0,0.0,0.22,0.023,0.843,0.04,0.373,0.021,0.5171694078947368,0,0.8040336349331236,0
5,0.05,majority_voting,decision_function_bayes,0.1,0.8,312.44,15.2,0.044,0.012,0.974,0.016,0.759,0.05,0.8531633006347373,0,0.9635027319665147,0
5,0.05,truth_finder_single,decision_function_bayes,0.1,0.8,312.44,15.2,0.044,0.012,0.974,0.016,0.759,0.05,0.8531633006347373,0,0.9635027319665147,0
5,0.05,majority_voting,decision_function_bayes,0.1,0.9,385.24,15.94,0.031,0.004,0.981,0.008,0.822,0.028,0.8944891846921796,0,0.9737556081928382,0
5,0.05,truth_finder_single,decision_function_bayes,0.1,0.9,385.24,15.94,0.031,0.004,0.981,0.008,0.822,0.028,0.8944891846921796,0,0.9737556081928382,0
5,0.05,majority_voting,decision_function_bayes,0.1,0.95,433.325,21.522,0.029,0.008,0.985,0.014,0.819,0.018,0.8943625277161863,0,0.9773807082945013,0
5,0.05,truth_finder_single,decision_function_bayes,0.1,0.95,433.325,21.522,0.029,0.008,0.985,0.014,0.819,0.018,0.8943625277161863,0,0.9773807082945013,0
5,0.1,majority_voting,decision_function_bayes,0.1,0.7,300.0,0.0,0.216,0.011,0.862,0.022,0.369,0.013,0.5167798537774168,0,0.8198699315951224,0
5,0.1,truth_finder_single,decision_function_bayes,0.1,0.7,300.0,0.0,0.216,0.011,0.862,0.022,0.369,0.013,0.5167798537774168,0,0.8198699315951224,0
5,0.1,majority_voting,decision_function_bayes,0.1,0.8,571.47,27.061,0.065,0.028,0.967,0.016,0.681,0.091,0.7991832524271844,0,0.9516286127167631,0
5,0.1,truth_finder_single,decision_function_bayes,0.1,0.8,571.47,27.061,0.065,0.028,0.967,0.016,0.681,0.091,0.7991832524271844,0,0.9516286127167631,0
